Participant ID,Name,Participant Paid,Amount Paid,Response Received,Response
4404,FNfBmxITF,TRUE,4319.345317,FALSE,91.470077
16409,SeUPxhkr,TRUE,972.309275,FALSE,51.921140
14401,PBdFLqXJ,FALSE,13227.339946,TRUE,5.487228
29614,qgfVm,FALSE,23826.215430,TRUE,90.331736
6411,sSVuBEM,TRUE,2947.778039,TRUE,56.126591
13466,Crkymbdn,FALSE,16763.858821,FALSE,31.812494
5902,LzeOy,FALSE,7152.582110,FALSE,50.563066
26322,QgMuJ,TRUE,30578.417249,FALSE,17.404706
1488,yolJVOUm,TRUE,13819.312265,TRUE,7.266457
17447,aLOfLe,TRUE,10959.795251,FALSE,61.635182
22169,AivQMpH,TRUE,28271.628407,TRUE,98.986785
14774,WDPkMDqu,TRUE,2923.110111,FALSE,92.721335
2441,RmGHxqUFB,FALSE,22622.890652,TRUE,79.848628
17410,bofFdms,TRUE,24961.139592,TRUE,61.250649
21902,QEZyxZWUw,TRUE,17307.610797,FALSE,80.367443
2375,ohlclx,FALSE,18467.549944,FALSE,78.014466
6507,aHGSViQq,TRUE,5483.768548,FALSE,90.939055
23935,oAMTXdf,FALSE,28969.750206,FALSE,22.116764
2553,xmsxpw,TRUE,22702.324351,TRUE,70.012513
12613,shmNlDb,TRUE,19298.714377,FALSE,51.893674
14835,XbjRSHrxM,TRUE,14249.317759,TRUE,15.283670
6662,rvaeLYMv,TRUE,22624.160649,FALSE,82.918790
7252,edTbjfpP,FALSE,13039.262001,TRUE,41.132847
4651,SDeTaMna,TRUE,3229.728111,TRUE,46.485794
13439,LnqFVGN,FALSE,6909.817743,FALSE,40.357677
3301,MpiKtmpx,TRUE,5513.855037,FALSE,84.429456
5765,PBAsvtIBD,FALSE,20990.798303,FALSE,68.263802
1875,RSPrjHYRj,TRUE,27940.984741,FALSE,12.515641
31341,sQBnQsQ,FALSE,32362.729667,TRUE,46.351512
18051,ElpfyZK,TRUE,16256.092105,TRUE,35.401471
921,uFXcmM,FALSE,32165.031617,FALSE,12.793359
22984,rJHnDTGLC,FALSE,31329.794366,TRUE,93.169958
9280,ErGvc,TRUE,262.912992,TRUE,82.610553
10728,AjnuLKO,TRUE,684.832575,TRUE,93.856624
27373,rZRjLTP,TRUE,10794.183569,FALSE,85.323649
14406,tELpEhqxb,FALSE,29821.071963,TRUE,5.929746
17010,GNHJlWO,FALSE,3.717093,FALSE,85.323649
28491,xDkZJ,TRUE,14296.409131,TRUE,57.365642
5161,WQAllOE,FALSE,17092.334544,TRUE,69.899594
31872,qHiIYwf,TRUE,11754.288827,TRUE,26.636555
2238,RQgLedZ,FALSE,4715.870357,FALSE,20.065920
31608,dxBuirWLI,TRUE,30230.280343,TRUE,79.439680
21632,aJmXxtop,FALSE,9755.409711,TRUE,60.478530
17556,CPqNNOft,TRUE,11751.286355,TRUE,99.182104
16735,aJgYMFHxW,TRUE,2333.193945,TRUE,23.389386
1733,QXfgTH,TRUE,18965.962310,TRUE,89.376507
24176,PuafT,TRUE,19790.707511,TRUE,9.710990
7786,Qmfdz,FALSE,25895.855312,TRUE,86.004212
22663,MogUrcWT,FALSE,32199.419904,TRUE,12.805567
6804,eoarRn,TRUE,29310.503677,TRUE,43.208106
13386,QiQFXV,TRUE,20363.407910,TRUE,11.624500
26213,bdQHy,FALSE,20359.912015,TRUE,98.458815
13609,uKgDj,FALSE,6917.780236,TRUE,3.671377
9055,HBaSYIow,TRUE,12145.973296,TRUE,89.489425
12513,dnhoMqaH,FALSE,19118.430647,TRUE,76.580096
22765,KFAYTfEBY,FALSE,5534.328593,TRUE,92.846461
2149,fwyoomw,TRUE,18047.384411,FALSE,46.150090
328,AJJPWm,TRUE,30775.551225,TRUE,20.624409
871,IkPpgo,TRUE,21393.750877,FALSE,52.873318
26289,VBwYKcIE,FALSE,1255.121677,FALSE,44.752342
4566,CXqgcSWG,TRUE,18998.471114,TRUE,49.278237
13485,jhomlyQpk,FALSE,22171.138890,FALSE,84.786523
19698,bXzUdRBn,TRUE,5797.085025,TRUE,28.305918
21100,YRtmzY,TRUE,25446.805811,TRUE,23.166601
23344,Hbwikwa,FALSE,9433.927458,FALSE,41.746269
2136,uflpO,FALSE,395.595264,FALSE,66.731773
25072,osBCs,FALSE,26896.287118,TRUE,34.141057
14145,hVaPA,TRUE,27359.200171,FALSE,85.088656
3164,ALwCOTOe,FALSE,32213.628895,FALSE,9.018220
12634,rVnDrYNy,TRUE,4892.965575,FALSE,94.753868
15995,rSlaliIZ,FALSE,12347.419630,FALSE,13.995788
13013,uKgSdAsb,TRUE,31763.437330,TRUE,5.343791
11403,lVwnI,TRUE,22836.483352,FALSE,56.675924
9282,KZtDfvS,TRUE,24416.505387,FALSE,81.432539
6160,FPmSa,TRUE,3370.493545,TRUE,98.422193
17272,YqsZPTM,TRUE,16890.809290,TRUE,81.142613
13705,dHGTMnE,TRUE,14942.682852,TRUE,28.959014
3176,LLLJxzd,TRUE,6018.252022,TRUE,67.009491
6973,sUEgSwnc,TRUE,11151.856899,FALSE,47.181616
28025,owKxl,TRUE,18062.615864,TRUE,10.461745
30212,DKRdqJY,TRUE,3124.314158,FALSE,79.540391
23735,HhizQNsbM,FALSE,9715.938993,TRUE,11.493271
9150,YtSPkX,TRUE,7257.102756,FALSE,34.162420
4371,JXfSnFpXT,FALSE,13568.773644,FALSE,94.830164
7661,ZYsWxW,FALSE,2518.563189,TRUE,77.700125
203,THryVA,TRUE,20070.420331,TRUE,90.667440
19071,XBVOv,TRUE,13979.289865,FALSE,72.704245
1758,SGMHkJC,TRUE,30475.633229,FALSE,36.683248
6996,FBTVW,FALSE,31546.458419,TRUE,45.994446
8520,EmRwg,FALSE,25668.935911,FALSE,64.439833
4655,VeTscEn,FALSE,1238.509293,TRUE,66.185492
7264,qRwSom,TRUE,25947.636982,FALSE,70.293283
1256,HSlLtIyx,FALSE,19272.760979,FALSE,98.821986
12043,QuyyuA,FALSE,12558.775201,FALSE,59.648427
26441,sRTKygDg,TRUE,16875.417280,FALSE,92.559587
31325,dIfjykcO,FALSE,7994.855251,TRUE,40.278329
30597,UBBoEnmiH,FALSE,25752.219886,FALSE,68.617817
1082,qyLagZ,TRUE,22890.636372,FALSE,51.994385
1619,WYFtRvK,TRUE,6802.552965,TRUE,85.842463
24588,ulhJPjiWB,FALSE,24556.821772,FALSE,80.611591
